Type of land use in floodplains										
Water			Concrete/Settlement			Silt			Vegetation	
26.472443	74.614653		26.477409	74.612822		26.479869	74.631565		26.480727	74.630785
26.473291	74.615892		26.47751	74.612033		26.480261	74.631032		26.480971	74.630778
26.473295	74.615945		26.478578	74.612718		26.480182	74.631048		26.481135	74.630881
26.474169	74.616753		26.48007	74.613902		26.480324	74.631194		26.481153	74.630568
26.4736	74.616477		26.480527	74.613979		26.481966	74.629731		26.481899	74.630449
26.474732	74.616732		26.481266	74.614393		26.482	74.629757		26.48171	74.630645
26.474439	74.615515		26.481773	74.614795		26.481892	74.629201		26.481979	74.630763
26.475196	74.61616		26.482747	74.615022		26.482019	74.628862		26.48244	74.629999
26.476034	74.617306		26.483886	74.615283		26.482065	74.628916		26.482579	74.629801
26.477051	74.617236		26.484863	74.616088		26.482049	74.629056		26.482669	74.630072
26.47826	74.618033		26.486043	74.616935		26.475995	74.612336		26.482074	74.630891
26.478717	74.61907		26.486913	74.61762		26.476339	74.612283		26.482707	74.630924
26.480492	74.618507		26.487227	74.617999		26.477774	74.610691		26.482687	74.630649
26.478839	74.619038		26.487251	74.617868		26.47798	74.610548		26.482379	74.631772
26.482852	74.619956		26.488088	74.617224		26.477894	74.61047		26.482359	74.632387
26.484057	74.622029		26.488537	74.617779		26.479793	74.611401		26.482813	74.63303
26.484322	74.622314		26.489066	74.618458		26.47975	74.611416		26.482199	74.633363
26.482112	74.628227		26.489312	74.619129		26.479107	74.611917		26.4815	74.634009
26.475712	74.62568		26.489751	74.620048		26.481986	74.61619		26.481659	74.633432
26.471222	74.63021		26.490729	74.620553		26.481813	74.616163		26.481133	74.632913
26.469297	74.625974		26.491046	74.622526		26.48213	74.615215		26.480409	74.632771
26.468657	74.622485		26.489957	74.623311		26.482073	74.616177		26.479771	74.631016
26.469233	74.6256		26.489839	74.623754		26.482	74.616232		26.479415	74.631888
26.468664	74.623959		26.489421	74.624723		26.481825	74.616154		26.479518	74.631839
26.470454	74.622979		26.488556	74.624575		26.484537	74.618664		26.479523	74.631839
26.476108	74.61973		26.48764	74.624882		26.484977	74.618167		26.479374	74.631879
26.487645	74.620766		26.485365	74.624737		26.484932	74.618227		26.479391	74.631707
26.486244	74.622349		26.485388	74.626547		26.484696	74.618502		26.479418	74.6316
26.485154	74.624099		26.48395	74.627676		26.484535	74.618666		26.482605	74.629259
26.482699	74.626353		26.483799	74.631019		26.486215	74.617971		26.482864	74.629288
26.477396	74.630317		26.482247	74.631276		26.48656	74.618845		26.482522	74.629367
26.477133	74.622807		26.480945	74.631363		26.486462	74.61814		26.482837	74.629301
26.479185	74.620523		26.4799	74.633874		26.486724	74.618027		26.484334	74.629415
26.481251	74.621287		26.479087	74.633272		26.489107	74.617347		26.484535	74.629404
26.476776	74.625272		26.479183	74.633172		26.488827	74.617284		26.484756	74.629588
26.471975	74.629887		26.478862	74.633282		26.488907	74.617153		26.484644	74.629898
26.472069	74.628131		26.478367	74.633004		26.489115	74.617584		26.484578	74.630127
26.471862	74.628617		26.478089	74.633864		26.489311	74.617435		26.484538	74.630197
26.473616	74.620744		26.477368	74.635247		26.488901	74.617427		26.484795	74.630554
26.476762	74.623383		26.477319	74.636113		26.488131	74.619134		26.484423	74.629015
